Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal,Position
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2023-09-25,42.19477844238281,42.50857517454085,41.15045020013546,41.564184746897794,419091000,45.457326316833495,45.21498397827148,1.0,1.0
2023-09-26,41.88398361206055,42.79239807025896,41.62814811031587,41.97392575085955,402282000,45.211478042602536,45.12411911010742,1.0,1.0
2023-09-27,42.44062042236328,42.844363114706354,41.60216441597511,42.30271271186717,444935000,44.89608249664307,45.02374214172363,0.0,0.0
2023-09-28,43.061214447021484,43.41798267758721,42.08784351392444,42.432618445848725,424663000,44.58773403167724,44.94411087036133,0.0,0.0
2023-09-29,43.47095489501953,44.11553949357653,43.27907734367155,43.79874253504086,397830000,44.295325660705565,44.90379165649414,0.0,0.0
2023-10-02,44.75312042236328,45.1458647096369,43.83271296572386,44.00160269233367,433298000,44.10929489135742,44.913318405151365,0.0,0.0
2023-10-03,43.48894500732422,45.10090796030272,43.21811979928393,44.7791131286437,470850000,43.85810661315918,44.89150604248047,0.0,0.0
2023-10-04,44.012611389160156,44.11454682903524,43.26409364811851,43.71380433905175,361821000,43.707204246520995,44.85884246826172,0.0,0.0
2023-10-05,44.65919494628906,44.87106009571042,43.859711368944936,44.02160569733858,393483000,43.62960414886474,44.843647232055666,0.0,0.0
2023-10-06,45.73249816894531,45.759481188953075,43.99761731119279,44.16450946291641,434436000,43.63909797668457,44.84096458435059,0.0,0.0
2023-10-09,45.243804931640625,45.57559157643432,44.339389732508636,44.81308310202198,409675000,43.64384422302246,44.811520462036135,0.0,0.0
2023-10-10,45.76847457885742,46.22917591041197,45.05893322747722,45.280790227106074,368582000,43.69021453857422,44.792989349365236,0.0,0.0
2023-10-11,46.77582550048828,46.82879273607268,46.02031234982247,46.16621813703432,378137000,43.75622215270996,44.79904205322266,0.0,0.0
2023-10-12,46.91473388671875,47.57830726462998,46.30013251687724,46.746842929581085,481325000,43.824377822875974,44.85260025024414,0.0,0.0
2023-10-13,45.43169021606445,47.0856258439627,45.25080714920821,46.92972437247631,474115000,43.9023775100708,44.87158134460449,0.0,0.0
2023-10-16,46.065284729003906,46.19519817588755,44.8830449142491,45.03394854361238,375099000,44.008759117126466,44.89993659973145,0.0,0.0
2023-10-17,43.90967559814453,44.72515146398081,42.452615298122,43.971635905037324,812333000,44.02964553833008,44.87045043945312,0.0,0.0
2023-10-18,42.16879653930664,43.19113966201485,41.79803732924531,42.56354235108208,627294000,44.027496910095216,44.82119583129883,0.0,0.0
2023-10-19,42.07386016845703,43.26908828015481,41.85499958396407,42.783401532452814,501233000,44.08166217803955,44.81221176147461,0.0,0.0
2023-10-20,41.360321044921875,42.44262307555848,41.05151831937694,41.86299514075664,477266000,44.07051944732666,44.792274475097656,0.0,0.0
2023-10-23,42.947296142578125,43.22012278548461,40.91860593108143,41.20242325687503,478530000,44.10814533233643,44.8347144317627,0.0,0.0
2023-10-24,43.63484573364258,43.668824208033044,42.663476137534204,43.04922503107713,401463000,44.19568843841553,44.83298759460449,0.0,0.0
2023-10-25,41.75206756591797,43.62186366950043,41.52821293771827,43.37002340053755,398379000,44.161260795593265,44.789867858886716,0.0,0.0
2023-10-26,40.29999923706055,42.22875513682953,39.85428765821612,41.826015100945305,541001000,44.023200035095215,44.72678016662598,0.0,0.0
2023-10-27,40.47389221191406,41.17943837928563,39.98920425077625,41.10348715819275,416784000,43.87334690093994,44.670008239746096,0.0,0.0
2023-10-30,41.134464263916016,41.73907378443747,40.45490233078289,41.06051446991565,388028000,43.692414093017575,44.62734718322754,0.0,0.0
2023-10-31,40.75371551513672,40.85265454459505,39.20471527367733,40.423930186991555,517969000,43.5556526184082,44.503764419555665,0.0,0.0
2023-11-01,42.2977180480957,42.353681706486846,40.84265530544935,40.857645026484356,437593000,43.46990795135498,44.437022857666015,0.0,0.0
2023-11-02,43.47795104980469,43.855705696322225,42.86634611035468,43.300064408208144,409172000,43.41084575653076,44.364946899414065,0.0,0.0
2023-11-03,44.975982666015625,45.27978369407566,43.69480778178644,43.99161716605405,424610000,43.373019981384275,44.32189231872559,0.0,0.0
2023-11-06,45.72150802612305,45.905391339762694,44.870056042056,45.25580880956027,400733000,43.3969051361084,44.31663154602051,0.0,0.0
2023-11-07,45.92537307739258,46.18820018807057,45.12888604597762,45.68952517362853,343165000,43.40475006103516,44.299120025634764,0.0,0.0
2023-11-08,46.54397201538086,46.83678236721753,45.938359937306,46.070274797797154,346719000,43.393157386779784,44.255028839111326,0.0,0.0
2023-11-09,46.919734954833984,48.198908596818825,46.71986312021431,47.43639996851601,540496000,43.39340744018555,44.20885986328125,0.0,0.0
2023-11-10,48.30384826660156,48.440761010117264,47.25252811727141,47.46938732022543,421245000,43.5370153427124,44.18855438232422,0.0,0.0
2023-11-13,48.58864974975586,49.084332134936744,48.06798577140686,48.288843946075154,384136000,43.66318359375,44.190852661132816,0.0,0.0
2023-11-14,49.62398147583008,49.80186810947218,49.00838133866222,49.647968075180216,416954000,43.94889888763428,44.213078079223635,0.0,0.0
2023-11-15,48.856483459472656,49.927790961524366,48.168927272564574,49.902809365822506,475497000,44.28328323364258,44.24959457397461,1.0,1.0
2023-11-16,49.44810104370117,49.49307401570829,48.29884470682521,48.64761873945954,339756000,44.65199527740479,44.31433265686035,1.0,1.0
2023-11-17,49.2662239074707,49.68495254819164,48.975411113822275,49.49207615888525,325205000,45.04729042053223,44.38880470275879,1.0,1.0
2023-11-20,50.376502990722656,50.515413319946866,49.14929401076898,49.28021007685078,414120000,45.41875076293945,44.49335716247558,1.0,1.0
2023-11-21,49.91180419921875,50.48443286697379,49.19026950939756,50.09368608126626,565747000,45.73259868621826,44.59477188110352,1.0,1.0
2023-11-22,48.684593200683594,50.302548939584284,47.659253670052365,49.819862426084605,899420000,46.07922496795654,44.65935028076172,1.0,1.0
2023-11-24,47.74520492553711,48.889467324614394,47.71422286454428,48.438757822338204,294645000,46.45148525238037,44.70322196960449,1.0,1.0
2023-11-27,48.21090316772461,48.498715719855554,47.62128333679978,47.76918674468385,395662000,46.838335800170896,44.79000610351562,1.0,1.0
2023-11-28,47.790164947509766,48.29184398043461,47.442389759187826,48.204898277235316,401491000,47.17112083435059,44.867056350708005,1.0,1.0
2023-11-29,48.10896301269531,48.73056364947179,47.82914475163215,48.347811153163846,382005000,47.538883209228516,44.95939666748047,1.0,1.0
2023-11-30,46.739845275878906,48.07898145694806,46.392070077516905,47.993034557521675,526247000,47.760989570617674,45.04995819091797,1.0,1.0
2023-12-01,46.7348518371582,47.169572782203616,46.15722533542331,46.495008690555146,369317000,47.92383460998535,45.16484413146973,1.0,1.0
2023-12-04,45.48065948486328,46.04729530005155,44.98098181883111,46.04729530005155,437543000,47.94906845092773,45.2427938079834,1.0,1.0
2023-12-05,46.54007339477539,46.57405104711008,45.24579248346221,45.44068360016381,371718000,47.98999671936035,45.32969970703125,1.0,1.0
2023-12-06,45.477664947509766,47.36061873070036,45.38671600748787,47.188713605709914,380590000,47.96761131286621,45.40157333374023,1.0,1.0
2023-12-07,46.5700569152832,46.6030394870367,45.578608662273986,45.67455588233509,350823000,47.96891555786133,45.48416206359863,1.0,1.0
2023-12-08,47.479549407958984,47.71441917110969,46.52408042310089,46.56905734985708,359224000,47.99690628051758,45.572528762817385,1.0,1.0
2023-12-11,46.60103988647461,47.50453592444969,45.8044865345936,47.46456109151934,509728000,47.91176586151123,45.63513046264649,1.0,1.0
2023-12-12,47.63046646118164,47.63946032153252,46.02036339199116,46.02036339199116,372387000,47.86385669708252,45.692677383422854,1.0,1.0
